PROF_NUM,LONGITUDE,LATITUDE,float,JULD
3,-10.5557,57.397,navis102,2022-07-22 13:15:20.000000000
4,-10.39,57.4606,navis102,2022-07-27 08:23:41.000000000
5,-10.5609,57.6189,navis102,2022-08-01 03:50:17.000000000
6,-11.086,57.7479,navis102,2022-08-05 23:05:59.000000000
7,-11.4457,57.7231,navis102,2022-08-10 19:11:36.000000000
8,-11.3806,57.8442,navis102,2022-08-15 14:43:50.000000000
9,-12.251,58.2749,navis102,2022-08-20 09:23:56.000000000
10,-11.9927,58.7326,navis102,2022-08-25 04:33:09.000000000
11,-12.7475,58.5824,navis102,2022-08-30 00:29:11.000000000
12,-12.845,58.1855,navis102,2022-09-03 19:45:57.000000000
13,-12.5433,57.8927,navis102,2022-09-08 15:14:14.000000000
14,-12.6089,57.4698,navis102,2022-09-13 10:31:15.000000000
15,-12.5514,57.2069,navis102,2022-09-18 06:35:24.000000000
16,-12.6458,57.1515,navis102,2022-09-23 02:02:46.000000000
17,-12.5701,57.1951,navis102,2022-09-27 21:33:28.000000000
18,-11.9861,57.3613,navis102,2022-10-02 17:28:49.000000000
19,-11.2962,57.6134,navis102,2022-10-07 14:32:21.000000000
20,-10.1219,57.7125,navis102,2022-10-12 08:20:21.000000000
21,-10.1774,57.963,navis102,2022-10-17 02:37:12.000000000
22,-10.7854,57.9712,navis102,2022-10-21 20:21:11.000000000
23,-10.7538,57.6719,navis102,2022-10-26 13:52:34.000000000
24,-10.4664,57.5828,navis102,2022-10-31 07:30:50.000000000
25,-10.3064,57.6412,navis102,2022-11-05 02:57:25.000000000
26,-9.976,57.9449,navis102,2022-11-09 23:12:00.000000000
27,-9.6566,58.5748,navis102,2022-11-14 18:48:01.000000000
28,-9.3809,58.9388,navis102,2022-11-19 14:32:27.000000000
29,-9.0276,59.0326,navis102,2022-11-24 10:18:41.000000000
30,-8.5758,58.9354,navis102,2022-11-29 05:34:15.000000000
31,-8.8725,58.9087,navis102,2022-12-04 00:40:41.000000000
32,-8.5839,58.9183,navis102,2022-12-08 19:48:57.000000000
33,-8.7014,59.0269,navis102,2022-12-13 16:06:27.000000000
34,-8.7736,58.8375,navis102,2022-12-18 11:59:51.000000000
35,-8.4486,58.8675,navis102,2022-12-23 06:58:08.000000000
36,-9.0638,58.7793,navis102,2022-12-28 02:51:31.000000000
37,-9.1254,58.592,navis102,2023-01-01 20:44:18.000000000
38,-9.3708,58.6582,navis102,2023-01-06 15:51:25.000000000
39,-9.3145,58.852,navis102,2023-01-11 11:20:32.000000000
40,-9.4794,58.9216,navis102,2023-01-16 06:48:54.000000000
41,-9.6331,59.0491,navis102,2023-01-21 01:51:26.000000000
42,-9.706,59.1027,navis102,2023-01-25 20:12:48.000000000
43,-9.2604,59.5058,navis102,2023-01-30 14:49:03.000000000
44,-8.6952,59.4903,navis102,2023-02-04 09:11:51.000000000
45,-8.3634,59.2573,navis102,2023-02-09 07:28:11.000000000
46,-8.3728,59.2856,navis102,2023-02-14 04:26:37.000000000
47,-7.7624,59.2207,navis102,2023-02-18 23:44:19.000000000
48,-8.6459,58.9525,navis102,2023-02-28 18:42:16.000000000
49,-8.6306,59.086,navis102,2023-03-10 13:33:22.000000000
50,-8.0504,59.2587,navis102,2023-03-20 08:37:57.000000000
51,-9.2445,59.4393,navis102,2023-03-30 03:13:38.000000000
52,-9.7822,59.5451,navis102,2023-04-08 22:24:31.000000000
53,-9.9724,59.8139,navis102,2023-04-18 17:33:40.000000000
54,-11.2896,60.3996,navis102,2023-04-28 11:08:51.000000000
55,-11.6511,60.2018,navis102,2023-05-08 05:06:14.000000000
56,-11.2511,60.2298,navis102,2023-05-17 23:02:11.000000000
57,-11.5607,60.3386,navis102,2023-05-27 16:53:12.000000000
58,-10.824,59.8704,navis102,2023-06-06 10:58:28.000000000
59,-10.2161,59.8363,navis102,2023-06-16 04:50:47.000000000
60,-8.7115,59.9139,navis102,2023-06-25 23:01:07.000000000
61,-9.9777,60.2127,navis102,2023-07-05 16:37:35.000000000
62,-10.1438,59.9354,navis102,2023-07-15 10:44:31.000000000
